1034,可口可乐饮料,可口可乐（Coca-Cola）,中国大陆,280,9,N,49.8,1,orange juice
1035,玛丽橙汁,玛丽（Malee）,泰国,270,10,N,82.9,1,orange juice
1036,百事可乐纯果乐橙汁,百事可乐,中国大陆,280,8,N,105,1,orange juice
1037,果倍爽饮料,果倍爽,中国大陆,230,10,N,117,1,orange juice
1038,可口可乐300ml*12,可口可乐（Coca-Cola）,中国大陆,230,6,N,15.9,1,orange juice
1039,良珍橙汁 西班牙进口果汁饮料 100％纯果汁,良珍（LEUNG CHUN）,西班牙,30,7,N,79,1,orange juice
1040,众果1L*5盒,众果,江苏省苏州市,60,9,N,69.9,1,orange juice
1041,屈臣氏屈臣氏 （Watsons）新奇士橙汁汽水330MLX24听 整箱,屈臣氏（Watsons）,中国大陆,30,9,N,76,1,orange juice
1042,宾得宝宾得宝 含气血橙汁饮料,宾得宝（Bundaberg）,澳大利亚,50,7,N,89,1,orange juice
1043,帕玛拉特圣涛饮料,帕玛拉特圣涛（Parmalat）,意大利,70,8,N,79.9,1,orange juice
1044,泰宝橙汁礼盒,泰宝（TIPCO）,泰国,60,7,N,109,1,orange juice
1045,北冰洋橙汁汽水248ml*24瓶,北冰洋,中国大陆,250,6,N,119,1,orange juice
1046,良珍橙汁 西班牙进口果汁饮料 100％纯果汁,良珍（LEUNG CHUN）,西班牙,220,9,N,138,1,orange juice
1047,泰宝泰宝四种口味礼盒,泰宝（TIPCO）,泰国,120,10,N,109,1,orange juice
1048,果美乐鲜榨橙汁,果美乐,墨西哥,50,9,N,35,1,orange juice
1049,可口可乐果粒橙,可口可乐（Coca-Cola）,中国大陆,90,8,N,39.9,1,orange juice
1050,百事新品纯果乐橙汁 100%橙汁250ml*24瓶  含糖果汁新日期 纯果乐橙汁,百事可乐,中国大陆,240,9,N,120,1,orange juice
1051,屈臣氏箱,屈臣氏（Watsons）,中国大陆,30,6,N,47,1,orange juice
1052,新的浓缩 果汁 饮料,新的,广东省佛山市,110,10,N,93.5,1,orange juice
1053,农夫山泉农夫山泉,农夫山泉,中国大陆,30,6,N,54.9,1,orange juice
1054,佛罗瑞达橙汁含果肉1L,佛罗瑞达（Florida’s Natural）,美国,70,9,N,44.8,1,orange juice
1055,HANKOW ER CHANG含气橙汁饮料,HANKOW ER CHANG,中国河南省,180,6,N,105,1,orange juice
1056,北冰洋 橙汁汽水330ml*24听/箱 碳酸饮料,北冰洋,中国大陆,50,10,N,115,1,orange juice
1057,可口可乐300ml*12,可口可乐（Coca-Cola）,中国大陆,220,8,N,15.9,1,orange juice
1058,名屋橙汁,名屋（FAMOUS HOUSE）,中国台湾,190,10,N,52.8,1,orange juice
1059,零度·果坊橙汁960ml,零度·果坊,浙江省湖州市德清县,80,7,N,38,1,orange juice
1060,泰宝绿橙汁500ML,泰宝（TIPCO）,泰国,80,6,N,15.9,1,orange juice
1061,汇源果汁 超值推荐 100%橙汁 新鲜橙汁饮料 果味饮料1L*12瓶整箱装,汇源,中国大陆,210,10,N,168,1,orange juice
1062,果汁然111113,果汁然,塞浦路斯,140,9,N,168,1,orange juice
1063,九日【京东超市】韩国九日牌加糖橙汁果肉饮料 进口礼盒装果汁238ml*12瓶,九日（jiur）,韩国,270,8,N,47.9,1,orange juice
1064,进口饮料果汁橙汁 中国台湾进口饮品 名屋橙汁饮料485ml*6超值量贩装,名屋（FAMOUS HOUSE）,中国台湾,70,10,N,52.8,1,orange juice
1065,农夫山泉果汁,农夫山泉,杭州,180,9,N,72.6,1,orange juice
1066,农夫山泉果汁,农夫山泉,杭州,300,8,N,72.6,1,orange juice
1067,玛丽芒果汁饮料,玛丽（MALEE）,泰国,300,9,N,59,1,orange juice
1068,果美乐CFS100% 纯冷鲜榨橙汁 升级版NFC果汁12瓶组合装 原装进口饮料 新批次,果美乐,墨西哥,110,7,N,418,1,orange juice
1069,农夫山泉农夫山泉,农夫山泉,中国大陆,200,10,N,54.9,1,orange juice
1070,芳塔娜橙汁,芳塔娜（Fontana）,塞浦路斯,170,10,N,51.8,1,orange juice
1071,塞浦路斯进口果汁意文(EWEN)橙汁1L,意文,其他,100,8,N,10.9,1,orange juice
1072,良珍进口果汁 进口橙汁 西班牙进口果汁 地中海风味果汁,良珍（LEUNG CHUN）,西班牙,300,8,N,59,1,orange juice
1073,光明橙汁 ,光明,中国大陆,230,10,N,33.6,1,orange juice
1074,果倍爽饮料,果倍爽,中国北京,170,9,N,48,1,orange juice
1075,希腊进口 agros莱果仕果汁 100%橙汁1L*2瓶,莱果仕（agros）,希腊,60,6,N,49.8,1,orange juice
1076,斐素橙汁,斐素,无锡,200,7,N,14.8,1,orange juice
1077,三蜜 韩国进口饮料果汁12听组合葡萄汁草莓汁橙汁香蕉汁苹果汁芦荟味芒果味 饮品进口零食,三蜜,韩国,130,9,N,55,1,orange juice
1078,意大利进口 帕玛拉特圣涛/圣托 100%纯橙汁1L*6瓶 果汁,帕玛拉特（PARMALAT）,意大利,120,8,N,132,1,orange juice
1079,可口可乐饮料,可口可乐（Coca-Cola）,中国大陆,30,10,N,49.8,1,orange juice
1080,进口果汁 意大利原装进口Parmalat/帕玛拉特 橙汁1L*3瓶 纯果汁饮料 鲜榨果汁,帕玛拉特圣涛（Parmalat）,意大利,170,6,N,65.9,1,orange juice
1081,可口可乐（Coca-Cola） 美汁源果粒橙300ml*12瓶果肉橙汁迷你小瓶果汁饮料,可口可乐（Coca-Cola）,中国大陆,280,8,N,32.8,1,orange juice
1082,Florida,佛罗瑞达（Florida’s Natural）,美国,100,6,N,180,1,orange juice
1083,可口可乐饮料,可口可乐（Coca-Cola）,中国大陆,130,10,N,49.8,1,orange juice
1084,韩国进口乐天橙汁238mlx12罐 进口果汁饮料整盒 带果肉的果汁,乐天（Lotte）,中国大陆,220,9,N,49.9,1,orange juice
1085,良珍进口果汁 橙汁 苹果汁 番茄汁 桃汁 礼盒装进口果汁,良珍（LEUNG CHUN）,西班牙,290,6,N,119,1,orange juice
1086,土耳其原装进口果汁礼盒年货 迪米诗DIMES 100%果汁饮料 橙汁1L,迪米诗（Dimes）,土耳其,190,8,N,25,1,orange juice
1087,斐素芒果橙*1瓶,斐素,无锡,30,9,N,14.8,1,orange juice
1088,北冰洋 橙桔双拼汽水350ml*12瓶 碳酸饮料 橙汁 桔汁 老北京塑料瓶汽水,北冰洋,中国大陆,100,7,N,66.8,1,orange juice
1089,良珍进口果汁  西班牙进口果汁 地中海风味果汁 礼盒装进口果汁,良珍（LEUNG CHUN）,西班牙,100,9,N,89,1,orange juice
1090,美国进口佛罗瑞达NFC 1L*6瓶橙汁葡萄柚汁苹果汁柠檬汁任意搭果汁,佛罗瑞达（Florida’s Natural）,美国,240,10,N,270,1,orange juice
1091,Delthin 德馨珍选高倍浓缩果汁原浆 奶茶餐饮店专用原料批发冲饮果味浓桨饮料 甜橙汁,Delthin,中国大陆,70,9,N,31.8,1,orange juice
1092,北冰洋 橙汁汽水350ml*24瓶/箱 塑料瓶  果味碳酸饮料 老北京汽水,北冰洋,中国大陆,230,10,N,127.8,1,orange juice
1093,统一 鲜橙多盒装250ml*24盒/箱 整箱装 橙汁盒装饮料（新老包装随机发货）,统一,中国大陆,260,10,N,42.8,1,orange juice
1094,泰国进口Malee玛丽果汁橙汁 多种口味可选纯蔬菜营养饮料 荔枝汁1L,玛丽（MALEE）,泰国,240,6,N,24.9,1,orange juice
1095,零度·果坊 NFC鲜榨橙汁300ml*6瓶100%鲜果榨取 非浓缩还原 低温冷藏果 预售,零度·果坊,中国大陆,160,8,N,99,1,orange juice
1096,零度果坊 鲜榨果汁NFC果汁橙汁芒果荔枝混装纯果汁 7口味14瓶,零度果坊,中国大陆,210,10,N,231,1,orange juice
1097,农夫山泉 NFC果汁饮料NFC橙汁300ml*24瓶 整箱装 300ML*24瓶,农夫山泉,中国大陆,60,10,N,156,1,orange juice
1098,农夫山泉NFC100%鲜榨果汁轻断食饮料鲜榨纯果蔬汁300ml*6瓶 橙汁,农夫山泉,中国大陆,40,8,N,39,1,orange juice
1099,美奈越南进口饮料6罐组合菠萝汁橙汁芒果汁什锦果汁荔枝汁桃汁果汁饮料 6口味6罐组合装,美奈（muine）,越南,120,10,N,29.9,1,orange juice
1100,红牌芒果汁+荔枝汁+橙汁+葡萄汁+香蕉牛奶+木瓜牛奶+蜜桃汁+石榴汁 饮料 8口味/组,红牌,中国台湾,50,7,N,72.8,1,orange juice
1101,北冰洋 橙汁汽水24支*248ml 老北京玻璃瓶    果汁碳酸饮料,北冰洋,中国大陆,140,8,N,138,1,orange juice
1102,大湖 上好佳Great Lakes100%果汁饮料255ml*24瓶/箱玻璃瓶 橙汁,大湖,中国大陆,260,7,N,126,1,orange juice
1103,汇源 超值推荐 鲜果饮橙汁饮饮料250ml*36盒 果汁饮料整箱,汇源,中国大陆,300,7,N,58,1,orange juice
1104,乐天葡萄汁橙汁果味饮料饮品5口味10罐组合 草莓汁苹果汁饮料 韩国进口饮料零食品 ,乐天（LOTTE）,韩国,190,7,N,48,1,orange juice
1105,农夫山泉 100%NFC橙汁果汁轻断食压榨果蔬汁饮料300ML*12瓶,农夫山泉,中国大陆,50,6,N,75,1,orange juice
1106,Delthin 德馨珍选 珍果鲜高果汁1L盒装饮料浓浆厂家正品批发优惠 珍果鲜橙汁,Delthin,中国大陆,250,8,N,56,1,orange juice
1107,派森百NFC鲜橙汁 补充维C 100%无添加营养果汁 【500MLX8盒】,派森百,中国大陆,190,9,N,256,1,orange juice
1108,农夫山泉17.5度橙汁苹果汁NFC低温鲜榨果汁330ml*12瓶 橙汁6苹果6,农夫山泉,中国大陆,300,10,N,160,1,orange juice
1109,土耳其原装进口果汁礼盒年货 迪美汁/DIMES橙汁100%1L*4瓶,迪美汁（DIMES）,其他,200,9,N,108,1,orange juice
1110,乐天橙汁 韩国进口果汁饮料整盒 带果肉的果汁 238mL*12罐,乐天（Lotte）,韩国,270,9,N,78.8,1,orange juice
1111,迪美汁橙汁,迪美汁（DIMES）,土耳其,140,7,N,99,1,orange juice
1112,零度果坊 鲜榨果汁纯果汁NFC低温橙汁饮料家庭分享960ml*4瓶,零度果坊,中国大陆,200,8,N,168,1,orange juice
1113,汇源 鲜果饮果汁饮料200ml*36盒/板 橙汁饮料 纸盒装质量保证,汇源,中国大陆,170,10,N,49,1,orange juice
1114,泰国进口 美汁源果粒橙汁果汁饮料 果肉果粒橙 果汁饮料250ml/瓶×8瓶,东蹲,中国大陆,250,9,N,68.9,1,orange juice
1115,土耳其进口饮料果汁 迪美汁（DIMES） 橙汁200ml*9儿童果汁饮料超值量贩装,迪美汁（DIMES）,土耳其,30,7,N,59.9,1,orange juice
1116,易乐众品果汁,易乐众品,中国大陆,140,10,N,55.9,1,orange juice
1117,北冰洋 橙汁桔汁酸梅汁苏打水 碳酸饮料12听组合装 橙汁汁6听+桔汁6听,北冰洋,中国大陆,70,8,N,58,1,orange juice
1118,泰国进口Malee玛丽果汁橙汁 多种口味可选纯蔬菜营养饮料 柑橘复合果汁1L,玛丽（MALEE）,泰国,210,10,N,24.9,1,orange juice
1119,Delthin 德馨珍选高倍浓缩果汁原浆 奶茶餐饮店专用原料批发冲饮果味浓桨饮料 甜橙汁,Delthin,中国大陆,280,8,N,31.8,1,orange juice
